date,completion_rate
0,0.89
1,1.57
2,1.06
3,1.0
4,0.29
5,1.24
6,1.49
7,1.9
8,1.5
9,0.16
10,1.3
11,1.09
12,0.58
13,0.38
14,0.53
15,1.13
16,0.08
17,0.76
18,1.29
19,0.11
20,1.54
21,0.68
22,0.99
23,1.22
24,1.04
25,1.27
26,1.95
27,1.77
28,0.88
29,0.59
30,0.07
31,1.4
32,0.6
33,0.31
34,1.09
35,0.77
36,0.76
37,1.97
38,1.66
39,1.27
40,0.51
41,1.52
42,1.51
43,0.59
44,1.63
45,1.61
46,1.89
47,1.36
48,1.19
49,1.98
50,0.25
51,1.25
52,1.63
53,1.97
54,1.84
55,1.23
56,0.13
57,1.02
58,0.49
59,1.86
60,0.53
61,0.71
62,1.64
63,0.79
64,0.98
65,0.58
66,0.68
67,1.59
68,1.35
69,1.8
70,1.69
71,0.92
72,1.36
73,0.37
74,1.07
75,0.75
76,0.72
77,0.12
78,1.27
79,1.71
80,0.82
81,0.26
82,1.12
83,0.21
84,1.87
85,1.07
86,0.86
87,0.65
88,0.53
89,1.11
90,1.68
91,1.32
92,0.14
93,0.45
94,1.42
95,1.78
96,1.44
97,1.79
98,1.95
99,1.02
100,0.41
101,1.47
102,0.48
103,1.31
104,0.03
105,0.99
106,1.76
107,0.75
108,0.17
109,1.31
110,1.34
111,0.36
112,1.28
113,0.19
114,0.34
115,1.81
116,1.39
117,1.54
118,0.06
119,1.22
120,1.36
121,1.05
122,0.82
123,0.66
124,1.48
125,1.78
126,1.68
127,1.64
128,1.52
129,0.1
130,1.72
131,1.34
132,1.91
133,0.73
134,0.74
135,1.56
136,1.44
137,1.48
138,1.31
139,0.24
140,1.12
141,1.83
142,0.66
143,1.72
144,1.45
145,1.54
146,1.47
147,0.96
148,0.82
149,0.31
150,1.96
151,0.12
152,0.84
153,1.11
154,0.5
155,1.47
156,1.2
157,1.98
158,0.82
159,1.45
160,0.69
161,1.73
162,0.2
163,1.02
164,1.77
165,1.06
166,1.79
167,0.38
168,1.66
169,0.65
170,1.55
171,1.27
172,1.75
