date,completion_rate
0,0.49
1,1.66
2,0.66
3,1.52
4,1.51
5,1.33
6,0.73
7,0.12
8,0.42
9,1.66
10,1.17
11,1.21
12,1.89
13,0.16
14,1.12
15,1.7
16,0.45
17,0.92
18,0.3
19,1.75
20,0.87
21,0.41
22,1.11
23,1.21
24,1.33
25,0.08
26,0.81
27,1.84
28,1.53
29,1.19
30,1.15
31,1.26
32,0.42
33,0.57
34,1.11
35,0.12
36,1.73
37,0.32
38,1.54
39,0.44
40,0.21
41,1.69
42,0.75
43,0.43
44,1.87
45,1.89
46,0.08
47,0.0
48,0.6
49,0.66
50,0.77
51,0.17
52,1.96
53,0.53
54,1.64
55,1.23
56,0.25
57,1.16
58,0.15
59,1.99
60,1.68
61,1.79
62,1.92
63,1.11
64,0.4
65,0.85
66,1.01
67,1.37
68,1.84
69,0.38
70,1.56
71,0.46
72,1.19
73,1.33
74,1.7
75,0.22
76,0.36
77,0.6
78,0.04
79,0.5
80,1.34
81,1.58
82,0.04
83,0.37
84,0.5
85,0.61
86,0.15
87,0.55
88,0.85
89,1.46
90,0.22
91,1.76
92,1.8
93,0.83
94,1.9
95,0.58
96,0.33
97,0.67
98,1.2
99,0.75
100,0.4
101,1.68
102,1.24
103,0.89
104,1.83
105,0.65
106,0.39
107,0.54
108,1.34
109,1.53
110,1.61
111,0.33
112,0.93
113,0.27
114,1.76
115,0.93
116,0.25
117,0.05
118,0.16
119,0.81
120,1.75
121,0.68
122,0.42
123,0.71
124,1.18
125,1.05
126,1.35
127,0.4
128,1.51
129,0.65
130,0.46
131,0.68
132,1.87
133,0.91
134,1.41
135,0.2
136,1.3
137,1.72
138,1.87
139,1.08
140,1.89
141,1.37
142,0.96
143,1.24
144,0.97
145,0.39
146,0.12
147,0.98
148,0.13
149,1.14
150,1.1
151,1.12
152,1.58
153,1.84
154,0.05
155,1.52
156,0.47
157,0.59
158,0.63
159,1.52
160,1.48
161,1.39
162,0.52
163,1.26
164,1.48
165,1.21
166,0.68
167,0.14
168,0.66
169,1.79
170,0.72
171,1.83
172,1.18
173,1.1
174,1.85
175,0.2
176,1.41
177,1.83
178,1.8
179,0.96
180,1.89
181,1.22
182,0.12
183,1.58
184,1.14
185,1.67
186,0.36
187,0.23
188,1.24
189,0.72
190,0.03
191,1.73
192,0.66
193,1.0
194,1.42
195,0.44
196,1.41
197,1.43
198,0.41
199,0.58
200,0.44
201,1.38
202,1.42
203,1.9
204,1.82
205,0.98
206,0.58
207,1.16
208,0.38
209,0.22
210,1.31
211,0.01
212,1.08
213,1.55
214,1.07
215,0.06
216,0.22
217,0.11
218,0.83
219,1.93
220,1.07
221,0.96
222,1.75
223,0.98
224,0.09
225,0.91
226,1.73
227,1.58
228,1.52
229,1.73
230,1.59
231,0.1
232,0.66
233,0.0
234,1.96
235,1.42
236,1.97
237,1.32
238,1.53
239,1.56
240,1.82
241,1.93
242,0.02
243,1.45
244,0.7
245,1.04
246,1.87
247,0.54
248,0.19
249,1.9
250,0.01
251,1.13
252,1.69
253,1.7
254,0.95
255,0.58
256,1.85
257,0.61
258,0.32
259,1.14
260,0.73
261,1.58
262,1.64
263,1.43
264,1.47
265,1.73
266,1.59
267,1.18
268,1.98
269,1.84
270,1.57
271,0.85
272,1.17
273,1.92
274,1.81
275,0.61
276,1.31
277,1.16
278,0.7
279,0.22
280,0.58
281,0.15
282,1.19
283,0.29
284,1.2
285,1.39
286,1.73
287,0.2
288,1.77
289,1.05
290,1.09
291,1.8
292,0.23
293,1.23
294,0.98
295,1.57
296,0.02
297,0.31
298,1.37
299,0.52
300,1.06
301,0.57
302,1.53
303,0.03
304,1.77
305,0.68
306,1.2
307,1.4
308,1.63
309,0.18
310,1.11
311,1.53
312,1.61
313,1.14
314,0.52
315,1.46
316,1.81
317,1.93
318,1.95
319,0.02
320,0.34
321,1.03
322,1.55
323,1.37
324,0.33
325,1.2
326,0.69
327,1.38
328,0.81
329,1.41
330,0.4
331,0.16
332,0.57
333,1.73
334,1.99
335,1.67
336,0.25
337,0.69
338,0.57
339,1.52
340,0.56
341,0.01
342,1.72
343,1.82
344,1.73
345,1.52
346,1.83
347,1.39
348,0.1
349,0.22
350,0.31
351,0.39
352,1.65
353,0.75
354,0.37
355,0.97
356,1.09
357,1.92
358,0.55
359,1.88
360,0.77
361,1.81
362,0.32
363,0.4
364,0.34
365,0.17
366,1.48
367,0.02
368,1.59
369,0.9
370,0.81
371,1.63
372,0.16
373,0.57
374,1.11
375,1.67
376,1.95
377,0.55
378,1.24
379,1.02
380,0.12
381,0.73
382,0.24
383,1.9
384,0.41
385,0.44
386,1.81
387,0.21
388,0.47
389,1.37
390,1.37
391,0.52
392,0.5
393,1.75
394,0.45
395,1.76
396,1.04
397,0.22
398,0.34
399,1.37
400,0.84
401,1.08
402,0.28
403,0.87
404,1.32
405,0.35
406,0.73
407,0.08
408,1.45
409,1.09
410,0.4
411,1.06
412,1.71
413,1.1
414,1.51
415,0.79
416,1.88
417,0.59
418,0.79
419,0.93
420,0.19
421,0.64
422,1.48
423,1.43
424,0.23
425,0.83
426,0.87
427,0.91
428,0.84
429,0.64
430,0.42
431,1.14
432,0.25
433,1.39
434,0.39
435,0.78
436,1.78
437,0.29
438,0.35
439,1.58
440,1.04
441,0.56
442,0.29
443,0.42
444,1.26
445,1.77
446,0.2
447,1.17
448,1.18
449,1.88
450,0.91
451,0.85
452,1.51
453,1.4
454,0.56
455,1.33
456,1.49
457,0.97
458,1.64
459,1.42
460,1.98
461,0.44
462,0.1
463,0.32
464,1.64
465,1.1
466,0.37
467,1.76
468,1.67
469,1.57
470,1.57
471,1.37
472,0.7
473,0.93
474,0.19
475,0.97
476,1.79
477,0.84
478,0.4
479,0.83
480,1.86
481,1.06
482,1.55
483,1.05
484,1.37
485,0.18
486,1.38
487,0.79
488,1.38
489,1.64
490,1.94
491,1.87
492,0.4
493,1.03
494,1.67
495,1.26
496,0.2
497,1.72
498,1.33
499,0.72
500,0.33
501,1.94
502,0.69
503,0.73
504,0.5
505,1.42
506,1.34
507,1.54
508,1.89
509,1.58
510,0.83
511,0.77
512,0.53
513,1.74
514,1.18
515,1.71
516,0.57
517,1.66
518,1.64
519,0.88
520,1.47
521,1.99
522,0.45
523,0.44
524,1.47
525,0.4
526,1.89
527,1.9
528,1.81
529,1.21
530,0.0
531,1.52
532,1.91
533,0.52
534,0.53
535,0.85
536,0.28
537,1.0
538,0.51
539,0.61
540,0.41
541,1.08
542,0.97
543,1.41
544,1.88
545,0.78
546,1.27
547,0.91
548,0.91
549,1.88
550,0.52
551,0.68
552,1.18
553,0.47
554,1.84
555,0.85
556,1.65
557,1.08
558,1.02
559,1.58
560,0.03
561,0.3
562,0.48
563,0.29
564,1.6
565,1.69
566,0.14
567,1.94
568,1.84
569,0.64
570,0.16
571,0.93
572,1.54
573,0.71
574,0.38
575,1.53
576,0.88
577,0.86
578,0.42
579,0.21
580,0.42
581,1.56
582,0.72
583,0.87
584,1.77
585,1.99
586,1.0
587,0.18
588,0.7
589,1.94
590,1.19
591,0.72
592,1.93
593,1.21
594,0.44
595,1.79
596,0.38
597,1.65
598,0.51
599,1.58
600,1.15
601,1.44
602,0.12
603,0.72
604,0.43
605,1.99
606,0.15
607,1.93
608,1.17
609,1.74
610,0.86
611,1.05
612,0.06
613,1.42
614,1.32
615,1.66
616,1.54
617,0.75
618,1.37
619,1.96
620,0.19
621,0.43
622,0.23
623,1.11
624,0.8
625,1.82
626,0.52
627,1.82
628,1.98
629,0.84
630,0.62
631,1.96
632,1.16
633,1.98
634,1.57
635,1.2
636,1.7
637,1.37
638,0.99
639,1.83
640,1.39
641,0.27
642,1.83
643,0.99
644,1.81
645,0.16
646,0.72
647,1.32
648,0.06
649,0.43
650,1.98
651,0.85
652,0.38
653,0.59
654,1.26
655,0.32
656,1.43
657,0.51
658,2.0
659,1.86
660,1.39
661,1.1
662,1.12
663,1.65
664,1.54
665,1.48
666,1.71
667,1.67
668,0.07
669,0.08
670,1.87
671,1.95
672,1.02
673,0.64
674,1.32
675,0.2
676,1.96
677,1.14
678,0.54
679,1.32
680,0.38
681,1.82
682,0.98
683,0.03
684,0.29
685,0.98
686,0.5
687,2.0
688,1.82
689,1.55
690,1.65
691,0.46
692,0.9
693,0.1
694,0.05
695,1.14
696,0.77
697,0.07
698,1.0
699,1.25
700,1.59
701,1.71
702,1.46
703,0.3
704,0.15
705,0.46
706,1.84
707,1.68
708,1.77
709,1.82
710,0.71
711,1.56
712,0.78
713,1.27
714,1.46
715,1.62
716,1.17
717,1.82
718,1.57
719,0.04
720,0.74
721,1.79
722,0.78
723,1.95
724,0.39
725,1.43
726,1.67
727,0.08
728,1.54
729,1.47
730,0.52
731,1.77
732,0.42
733,0.96
734,1.28
735,1.44
736,0.08
737,1.84
738,1.3
739,1.76
740,0.83
741,1.35
742,1.06
743,0.53
744,1.63
745,0.32
746,1.12
747,1.01
748,1.23
749,0.21
750,1.05
751,0.93
752,0.76
753,0.28
754,0.97
755,2.0
756,1.49
757,0.45
758,0.5
759,1.42
760,1.93
761,0.69
762,0.33
763,1.94
764,0.59
765,0.94
766,0.44
767,0.39
768,1.48
769,1.35
770,0.76
771,1.43
772,0.95
773,0.38
774,0.83
775,0.43
776,1.85
777,0.64
778,0.26
779,0.89
780,0.29
781,1.78
782,0.6
783,1.71
784,1.97
785,1.09
786,1.48
787,1.41
788,0.28
789,1.0
790,1.42
791,1.64
792,1.14
793,1.39
794,0.56
795,0.36
796,0.34
797,1.43
798,2.0
799,0.71
800,0.94
801,1.7
802,0.83
803,1.38
804,1.69
805,1.61
806,1.98
807,1.44
808,1.02
809,1.35
810,1.45
811,1.92
812,0.79
813,1.65
814,1.77
815,0.97
816,1.99
817,0.73
818,0.85
819,0.85
820,1.32
821,1.61
822,0.45
823,0.35
824,0.88
825,0.14
826,1.29
827,0.54
828,0.6
829,1.63
830,1.88
831,0.82
832,0.08
833,1.56
834,0.1
835,1.46
836,1.76
837,0.56
838,1.45
839,0.26
840,0.69
841,0.78
842,1.6
843,0.61
844,0.84
845,1.42
846,1.01
847,0.75
848,0.12
849,0.69
850,0.09
851,1.77
852,0.83
853,1.42
854,0.7
855,1.74
856,1.35
857,0.76
858,1.16
859,1.59
860,1.27
861,0.6
862,0.05
863,0.87
864,1.57
865,1.94
866,1.2
867,1.4
868,0.5
869,1.99
870,0.03
871,1.72
872,0.52
873,0.48
874,0.29
875,1.31
876,1.75
877,0.77
878,0.76
879,0.78
880,0.86
881,0.64
882,0.76
883,0.8
884,1.18
885,1.01
886,0.22
887,0.86
888,1.51
889,0.24
890,0.33
891,1.14
892,1.88
893,0.58
894,1.81
895,0.58
896,1.73
897,0.88
898,1.65
899,0.49
900,1.65
901,0.84
902,0.07
903,0.83
904,1.84
905,0.05
906,1.11
907,0.37
908,0.71
909,1.1
910,0.87
911,1.11
912,0.85
913,0.7
914,1.81
915,1.49
916,1.35
917,0.26
918,0.53
919,1.85
920,0.1
921,0.85
922,1.44
923,1.04
924,0.79
925,1.38
926,1.38
927,1.98
928,1.23
929,0.41
930,1.27
931,1.49
932,0.65
933,1.14
934,1.42
935,1.93
936,0.07
937,0.25
938,0.92
939,0.15
940,1.87
941,1.44
942,0.69
943,1.71
944,1.39
945,0.61
946,1.07
947,1.37
948,0.49
949,1.18
950,0.49
951,0.02
952,1.84
953,0.15
954,0.5
955,1.55
956,1.95
957,0.01
958,1.98
959,0.56
960,1.79
961,1.62
962,0.02
963,0.52
964,0.83
965,0.1
966,1.2
967,1.85
968,1.14
969,0.66
970,0.15
971,1.08
972,1.26
973,1.02
974,0.8
975,1.89
976,1.34
977,1.34
978,0.53
979,0.05
980,0.68
981,1.18
982,0.99
983,0.27
984,1.34
985,0.62
986,0.31
987,0.62
988,0.06
989,1.17
990,1.54
991,0.12
992,1.96
993,0.6
994,0.41
995,1.48
996,1.86
997,0.98
998,0.37
999,0.56
1000,0.81
1001,1.24
1002,0.14
1003,0.57
1004,0.45
1005,1.72
1006,1.59
1007,1.65
1008,0.2
1009,1.99
1010,1.31
1011,1.62
1012,0.42
1013,0.62
1014,0.75
1015,0.5
1016,1.98
1017,1.24
1018,1.4
1019,1.0
1020,1.08
1021,0.55
1022,0.12
1023,1.14
1024,1.98
1025,1.46
1026,1.62
1027,1.73
1028,1.59
1029,1.58
1030,0.77
1031,0.53
1032,1.02
1033,1.64
1034,1.22
1035,0.12
1036,1.46
1037,1.69
1038,1.47
1039,0.1
1040,1.31
1041,1.09
1042,1.51
1043,0.96
1044,1.45
1045,0.37
1046,0.61
1047,1.55
1048,1.12
1049,0.72
1050,0.11
1051,0.78
1052,0.71
1053,0.49
1054,1.85
1055,0.03
1056,0.15
1057,0.86
1058,0.9
1059,0.29
1060,0.62
1061,0.57
1062,1.59
1063,1.83
1064,0.46
1065,0.74
1066,1.48
1067,0.66
1068,0.86
1069,0.36
1070,1.63
1071,0.34
1072,1.38
1073,1.23
1074,1.8
1075,1.99
1076,1.75
1077,0.95
1078,1.8
1079,1.94
1080,0.25
1081,0.73
1082,1.33
1083,1.93
1084,0.87
1085,1.59
1086,1.47
1087,1.56
1088,1.9
1089,1.06
1090,0.23
1091,0.47
1092,0.95
1093,1.48
1094,1.07
1095,1.98
1096,1.63
1097,1.6
1098,1.69
1099,0.14
1100,1.36
1101,1.39
1102,0.86
1103,1.85
1104,1.84
1105,0.91
1106,0.58
1107,0.77
1108,1.84
1109,1.16
1110,1.27
1111,0.18
1112,1.46
1113,1.5
1114,0.19
1115,1.65
1116,1.81
1117,1.91
1118,0.01
1119,0.18
1120,0.35
1121,1.33
